name,code,rgb,detail_url,brand_descr,lrv,collection,recommendations
Salmon Run,019,"rgb(241, 147, 120)",https://www.benjaminmoore.com/en-us/paint-colors/color/019/salmon-run,A playful orange with sharp pink undertones.,39.6,Benjamin Moore Classics® Color Collection,
Fresno,020,"rgb(239, 122, 95)",https://www.benjaminmoore.com/en-us/paint-colors/color/020/fresno,"Like a fresno pepper, this festive orange-pink hue offers just the right amount of zest.",31.94,Benjamin Moore Classics® Color Collection,
Jupiter Glow,021,"rgb(226, 109, 74)",https://www.benjaminmoore.com/en-us/paint-colors/color/021/jupiter-glow,A dazzling shade of orange with a bright red cast.,26.92,Benjamin Moore Classics® Color Collection,
Peach Cooler,022,"rgb(247, 228, 212)",https://www.benjaminmoore.com/en-us/paint-colors/color/022/peach-cooler,"Light and crisp, this frosty shade of peach has a refreshing effect.",77.3,Benjamin Moore Classics® Color Collection,
Heirloom,023,"rgb(245, 216, 199)",https://www.benjaminmoore.com/en-us/paint-colors/color/023/heirloom,An incandescent shade of peach with gentle pink undertones.,71.02,Benjamin Moore Classics® Color Collection,
Coral Buff,024,"rgb(247, 200, 183)",https://www.benjaminmoore.com/en-us/paint-colors/color/024/coral-buff,A pale coral hue heightened by a tinge of pink.,62.5,Benjamin Moore Classics® Color Collection,
Vivid Peach,025,"rgb(241, 183, 164)",https://www.benjaminmoore.com/en-us/paint-colors/color/025/vivid-peach,A classic peach hue with a slightly cool cast.,53.74,Benjamin Moore Classics® Color Collection,
Coral Glow,026,"rgb(231, 158, 131)",https://www.benjaminmoore.com/en-us/paint-colors/color/026/coral-glow,Embrace the coastal vibes of this laid-back coral hue.,42.35,Benjamin Moore Classics® Color Collection,
San Antonio Rose,027,"rgb(216, 132, 103)",https://www.benjaminmoore.com/en-us/paint-colors/color/027/san-antonio-rose,A unique color that combines the exuberance of coral with the earthiness of terracotta.,31.4,Benjamin Moore Classics® Color Collection,
Rich Coral,028,"rgb(206, 108, 82)",https://www.benjaminmoore.com/en-us/paint-colors/color/028/rich-coral,Orange and red find perfect balance in this statement-making beachy hue.,24.43,Benjamin Moore Classics® Color Collection,
Fruited Plains,029,"rgb(247, 219, 209)",https://www.benjaminmoore.com/en-us/paint-colors/color/029/fruited-plains,A creamy mixture of pink and peach reminiscent of a fruit smoothie.,72.74,Benjamin Moore Classics® Color Collection,
August Sunrise,030,"rgb(238, 194, 183)",https://www.benjaminmoore.com/en-us/paint-colors/color/030/august-sunrise,An orange-tinged pink that captures the ethereal glow of a summer sunrise.,59.44,Benjamin Moore Classics® Color Collection,
Georgia Peach,031,"rgb(233, 169, 154)",https://www.benjaminmoore.com/en-us/paint-colors/color/031/georgia-peach,A medium pink hue distinguished by crisp coral undertones.,46.61,Benjamin Moore Classics® Color Collection,
Coral Rock,032,"rgb(224, 144, 124)",https://www.benjaminmoore.com/en-us/paint-colors/color/032/coral-rock,"A dusky coral with a playful, sophisticated nature.",36.96,Benjamin Moore Classics® Color Collection,
Golden Gate,033,"rgb(211, 120, 100)",https://www.benjaminmoore.com/en-us/paint-colors/color/033/golden-gate,An exuberant shade of red-orange with playful coral undertones.,28.08,Benjamin Moore Classics® Color Collection,
Spiced Pumpkin,034,"rgb(182, 96, 79)",https://www.benjaminmoore.com/en-us/paint-colors/color/034/spiced-pumpkin,An earthy orange deepened by a hint of red.,18.68,Benjamin Moore Classics® Color Collection,
Baked Clay,035,"rgb(158, 85, 69)",https://www.benjaminmoore.com/en-us/paint-colors/color/035/baked-clay,"Equal amounts of red, orange and brown come together in this rich shade of brick.",15.06,Benjamin Moore Classics® Color Collection,
Orchid Pink,036,"rgb(240, 211, 201)",https://www.benjaminmoore.com/en-us/paint-colors/color/036/orchid-pink,"Cool and muted, this light pink brings a gentle elegance to a space.",67.8,Benjamin Moore Classics® Color Collection,
Rose Blush,037,"rgb(233, 201, 193)",https://www.benjaminmoore.com/en-us/paint-colors/color/037/rose-blush,A powdery pink blushed with sophistication.,60.61,Benjamin Moore Classics® Color Collection,
Rosetta,038,"rgb(222, 180, 170)",https://www.benjaminmoore.com/en-us/paint-colors/color/038/rosetta,A soft rosy pink with a vintage charm.,49.74,Benjamin Moore Classics® Color Collection,
Sharon Rose,039,"rgb(214, 155, 142)",https://www.benjaminmoore.com/en-us/paint-colors/color/039/sharon-rose,A touch of pink deepens this shade of dusty rose.,39.34,Benjamin Moore Classics® Color Collection,
Peaches 'n Cream,040,"rgb(203, 133, 116)",https://www.benjaminmoore.com/en-us/paint-colors/color/040/peaches-n-cream,Dusty red-orange tones lend creamy softness to this medium red hue.,30.88,Benjamin Moore Classics® Color Collection,
Spoonful of Sugar,041,"rgb(178, 107, 88)",https://www.benjaminmoore.com/en-us/paint-colors/color/041/spoonful-of-sugar,"A rich caramel hue with hints of brown, orange, and pink.",20.98,Benjamin Moore Classics® Color Collection,
Burnt Russet,042,"rgb(136, 77, 69)",https://www.benjaminmoore.com/en-us/paint-colors/color/042/burnt-russet,Brown and orange undertones give this dark red an elegant air.,12.25,Benjamin Moore Classics® Color Collection,
East Lake Rose,043,"rgb(241, 213, 203)",https://www.benjaminmoore.com/en-us/paint-colors/color/043/east-lake-rose,"A soft, warm pink as delicate as an English garden rose.",69.76,Benjamin Moore Classics® Color Collection,
Frosted Rose,044,"rgb(236, 200, 190)",https://www.benjaminmoore.com/en-us/paint-colors/color/044/frosted-rose,A hint of peach soothes this petal-soft pink.,61.23,Benjamin Moore Classics® Color Collection,
Romantica,045,"rgb(231, 185, 172)",https://www.benjaminmoore.com/en-us/paint-colors/color/045/romantica,"An intense pink with a soft touch, this mid-tone is unabashedly sweet and romantic.",53.28,Benjamin Moore Classics® Color Collection,
Salmon Mousse,046,"rgb(218, 164, 146)",https://www.benjaminmoore.com/en-us/paint-colors/color/046/salmon-mousse,"An uplifting yet relaxed hue, this pinkish orange brings soft style to any space.",42.34,Benjamin Moore Classics® Color Collection,
Savannah Clay,047,"rgb(193, 133, 115)",https://www.benjaminmoore.com/en-us/paint-colors/color/047/savannah-clay,A touch of brown deepens this rosy pink hue.,29.84,Benjamin Moore Classics® Color Collection,
Southwest Pottery,048,"rgb(151, 95, 87)",https://www.benjaminmoore.com/en-us/paint-colors/color/048/southwest-pottery,"A deeply sophisticated, nuanced hue that captures the brown, red, and orange tones of kiln-fired clay.",16.56,Benjamin Moore Classics® Color Collection,
Twilight Dreams,049,"rgb(135, 84, 75)",https://www.benjaminmoore.com/en-us/paint-colors/color/049/twilight-dreams,"A deep russet red-brown with a rich, warming quality.",13.26,Benjamin Moore Classics® Color Collection,
Pink Moiré,050,"rgb(242, 218, 204)",https://www.benjaminmoore.com/en-us/paint-colors/color/050/pink-moire,"Soft and creamy, this pleasing blush conveys an effortless elegance.",71.9,Benjamin Moore Classics® Color Collection,
Precocious,051,"rgb(238, 206, 193)",https://www.benjaminmoore.com/en-us/paint-colors/color/051/precocious,"A gentle pink enlivened with peach, this blush hue exudes a youthful charm.",64.17,Benjamin Moore Classics® Color Collection,
Conch Shell,052,"rgb(230, 189, 172)",https://www.benjaminmoore.com/en-us/paint-colors/color/052/conch-shell,"A gentle pink reminiscent of sepia tone, this dusty hue brings to mind thoughts of sunsets captured by a vintage film camera.",54.26,Benjamin Moore Classics® Color Collection,
Crazy For You,053,"rgb(226, 181, 165)",https://www.benjaminmoore.com/en-us/paint-colors/color/053/crazy-for-you,"A unique pink with rich, nuanced undertones that can go in a warm or cool direction.",51.6,Benjamin Moore Classics® Color Collection,
Farmer's Market,054,"rgb(216, 158, 135)",https://www.benjaminmoore.com/en-us/paint-colors/color/054/farmers-market,"Reminiscent of the delicate shell of an egg, this unique blend of pink, orange, and brown has a comforting feel.",40.66,Benjamin Moore Classics® Color Collection,
Pumpkin Patch,055,"rgb(209, 140, 108)",https://www.benjaminmoore.com/en-us/paint-colors/color/055/pumpkin-patch,"Hints of pink and brown bring out the soft, sophisticated side of this orange hue.",32.54,Benjamin Moore Classics® Color Collection,
Montana Agate,056,"rgb(184, 109, 82)",https://www.benjaminmoore.com/en-us/paint-colors/color/056/montana-agate,"Just the right amounts of orange, red, and brown come together to make this quintessential terra-cotta hue.",22.2,Benjamin Moore Classics® Color Collection,
Orange Sorbet,057,"rgb(246, 227, 207)",https://www.benjaminmoore.com/en-us/paint-colors/color/057/orange-sorbet,"Colored with the barest hints of orange and peach, this delicate hue gives off a palpable glow.",77.07,Benjamin Moore Classics® Color Collection,
Pumpkin Mousse,058,"rgb(247, 213, 193)",https://www.benjaminmoore.com/en-us/paint-colors/color/058/pumpkin-mousse,A drop of pink energizes this almost fluorescent shade of peach.,69.35,Benjamin Moore Classics® Color Collection,
Orange Creamsicle,059,"rgb(244, 203, 179)",https://www.benjaminmoore.com/en-us/paint-colors/color/059/orange-creamsicle,"Crisp and refreshing, this light orange brings a touch of sweetness to any space.",63.23,Benjamin Moore Classics® Color Collection,
Fresh Peach,060,"rgb(240, 192, 164)",https://www.benjaminmoore.com/en-us/paint-colors/color/060/fresh-peach,"Casually coastal, this lush medium peach is surprisingly versatile.",56.61,Benjamin Moore Classics® Color Collection,
Myrtle Beach,061,"rgb(229, 168, 131)",https://www.benjaminmoore.com/en-us/paint-colors/color/061/myrtle-beach,A sparkling topaz hue that conjures a classic beach sunset.,45.62,Benjamin Moore Classics® Color Collection,
Vegetable Patch,062,"rgb(216, 145, 109)",https://www.benjaminmoore.com/en-us/paint-colors/color/062/vegetable-patch,"Infused with a hint of brown, this earthy orange has a sunbaked softness.",35.17,Benjamin Moore Classics® Color Collection,
Pennies From Heaven,063,"rgb(196, 119, 82)",https://www.benjaminmoore.com/en-us/paint-colors/color/063/pennies-from-heaven,"Grounded by a hint of brown, this coppery orange can enliven without overwhelming.",25.28,Benjamin Moore Classics® Color Collection,
Nautilus Shell,064,"rgb(247, 223, 205)",https://www.benjaminmoore.com/en-us/paint-colors/color/064/nautilus-shell,A pinkish peach as delicate and decorative as the shell for which it is named.,74.41,Benjamin Moore Classics® Color Collection,
Rosebud,065,"rgb(246, 216, 196)",https://www.benjaminmoore.com/en-us/paint-colors/color/065/rosebud,A fine mixture of pink and peach that echoes the soft beauty of rose petals.,69.85,Benjamin Moore Classics® Color Collection,
Forever Young,066,"rgb(246, 208, 183)",https://www.benjaminmoore.com/en-us/paint-colors/color/066/forever-young,"With its spirited pink and peach tones, this breezy pastel captures a feeling of youthful exuberance.",66.17,Benjamin Moore Classics® Color Collection,
Del Ray Peach,067,"rgb(242, 192, 166)",https://www.benjaminmoore.com/en-us/paint-colors/color/067/del-ray-peach,A classic peach with just the right amount of vibrancy.,57.31,Benjamin Moore Classics® Color Collection,
Succulent Peach,068,"rgb(232, 164, 129)",https://www.benjaminmoore.com/en-us/paint-colors/color/068/succulent-peach,"A playful medium orange that captures the satisfying sweetness of a ripe, juicy peach.",44.52,Benjamin Moore Classics® Color Collection,
Golden Cherry,069,"rgb(221, 137, 99)",https://www.benjaminmoore.com/en-us/paint-colors/color/069/golden-cherry,A dash of red enlivens this earthy orange.,33.34,Benjamin Moore Classics® Color Collection,
Topaz,070,"rgb(192, 106, 70)",https://www.benjaminmoore.com/en-us/paint-colors/color/070/topaz,"A deep, radiant orange with rich brown undertones.",22.37,Benjamin Moore Classics® Color Collection,
Cameo Rose,071,"rgb(246, 216, 196)",https://www.benjaminmoore.com/en-us/paint-colors/color/071/cameo-rose,"A light, dusty pink-peach that draws from the delicate coloring of an old cameo necklace.",70.01,Benjamin Moore Classics® Color Collection,
Sanibel Peach,072,"rgb(249, 197, 172)",https://www.benjaminmoore.com/en-us/paint-colors/color/072/sanibel-peach,"Charmingly retro, this playful coral hue conjures a classic beachside resort town.",60.65,Benjamin Moore Classics® Color Collection,
Amber Winds,073,"rgb(245, 187, 161)",https://www.benjaminmoore.com/en-us/paint-colors/color/073/amber-winds,A muted coral with peachy softness evocative of a summer sunset.,56.56,Benjamin Moore Classics® Color Collection,
Sausalito Sunset,074,"rgb(242, 166, 133)",https://www.benjaminmoore.com/en-us/paint-colors/color/074/sausalito-sunset,This coral hue brings to mind a late summer sunset.,46.87,Benjamin Moore Classics® Color Collection,
Flamingo Orange,075,"rgb(227, 142, 105)",https://www.benjaminmoore.com/en-us/paint-colors/color/075/flamingo-orange,"A balanced mid-tone that exhibits shades of coral, orange, and red.",35.56,Benjamin Moore Classics® Color Collection,
Corlsbud Canyon,076,"rgb(208, 113, 74)",https://www.benjaminmoore.com/en-us/paint-colors/color/076/corlsbud-canyon,A rich burnt orange that conjures the sunbaked landscape of the American Southwest.,24.96,Benjamin Moore Classics® Color Collection,
Fiery Opal,077,"rgb(178, 87, 63)",https://www.benjaminmoore.com/en-us/paint-colors/color/077/fiery-opal,The rich orange-red undertones of the rare fire opal come alive in this distinctive hue.,15.57,Benjamin Moore Classics® Color Collection,
Peach Melba,078,"rgb(248, 227, 209)",https://www.benjaminmoore.com/en-us/paint-colors/color/078/peach-melba,"Like its sugar-sweet namesake, this pale, pretty shade of peach provides comfort and cheer.",77.17,Benjamin Moore Classics® Color Collection,
Daytona Peach,079,"rgb(252, 220, 199)",https://www.benjaminmoore.com/en-us/paint-colors/color/079/daytona-peach,"A pale, glowing shade of peach that instantly brightens.",72.96,Benjamin Moore Classics® Color Collection,
Daylily,080,"rgb(252, 207, 185)",https://www.benjaminmoore.com/en-us/paint-colors/color/080/daylily,"With its bright coral notes, this peach hue is both delicate and dramatic, much like its namesake flower.",66.03,Benjamin Moore Classics® Color Collection,
Intense Peach,081,"rgb(248, 172, 137)",https://www.benjaminmoore.com/en-us/paint-colors/color/081/intense-peach,An ultra-saturated shade of peach that verges on orange.,49.75,Benjamin Moore Classics® Color Collection,
Sunset Boulevard,082,"rgb(247, 148, 107)",https://www.benjaminmoore.com/en-us/paint-colors/color/082/sunset-boulevard,"A vibrant, tangy orange that echoes the intense hue of a California sunset.",40.5,Benjamin Moore Classics® Color Collection,
Tangerine Fusion,083,"rgb(245, 133, 91)",https://www.benjaminmoore.com/en-us/paint-colors/color/083/tangerine-fusion,"Lush and saturated, this orange is unabashedly playful.",35.25,Benjamin Moore Classics® Color Collection,
Fiesta Orange,084,"rgb(240, 118, 75)",https://www.benjaminmoore.com/en-us/paint-colors/color/084/fiesta-orange,"Nothing epitomizes fun more than this highly charged, radiant orange.",30.03,Benjamin Moore Classics® Color Collection,
Amelia Blush,085,"rgb(247, 230, 211)",https://www.benjaminmoore.com/en-us/paint-colors/color/085/amelia-blush,A pale peach softened with a hint of creamy yellow.,77.62,Benjamin Moore Classics® Color Collection,
Apricot Tint,086,"rgb(249, 225, 203)",https://www.benjaminmoore.com/en-us/paint-colors/color/086/apricot-tint,A barely there hue delicately colored with a touch of orange.,75.17,Benjamin Moore Classics® Color Collection,
Juno Peach,087,"rgb(250, 217, 191)",https://www.benjaminmoore.com/en-us/paint-colors/color/087/juno-peach,"Happy and pleasing to the eye, this light peach offers just the right amount of vibrancy.",70.75,Benjamin Moore Classics® Color Collection,
Summer Peach Tree,088,"rgb(254, 202, 168)",https://www.benjaminmoore.com/en-us/paint-colors/color/088/summer-peach-tree,"As easygoing as a hot summer day, this classic shade of peach is enlivened by an extra hint of orange.",63.59,Benjamin Moore Classics® Color Collection,
Tooty Fruity,089,"rgb(250, 182, 137)",https://www.benjaminmoore.com/en-us/paint-colors/color/089/tooty-fruity,"A bright, creamy shade of orange as sweet and refreshing as a cold, juicy melon.",53.48,Benjamin Moore Classics® Color Collection,
Butterfly Wings,090,"rgb(252, 165, 116)",https://www.benjaminmoore.com/en-us/paint-colors/color/090/butterfly-wings,"Whimsical and playful, this vivid shade of orange has a carefree charm.",47.59,Benjamin Moore Classics® Color Collection,
Tangerine Melt,091,"rgb(247, 131, 69)",https://www.benjaminmoore.com/en-us/paint-colors/color/091/tangerine-melt,"A bold, brilliant orange that instantly energizes a room.",34.95,Benjamin Moore Classics® Color Collection,
Arizona Peach,092,"rgb(247, 230, 208)",https://www.benjaminmoore.com/en-us/paint-colors/color/092/arizona-peach,"Evocative of picturesque Southwestern landscapes, this ultra-pale peach sets a serene, ethereal mood.",77.3,Benjamin Moore Classics® Color Collection,
Winter Melon,093,"rgb(250, 226, 200)",https://www.benjaminmoore.com/en-us/paint-colors/color/093/winter-melon,A drop of bright orange punctuates this light yet luminous hue.,75.32,Benjamin Moore Classics® Color Collection,
Peach Stone,094,"rgb(250, 217, 188)",https://www.benjaminmoore.com/en-us/paint-colors/color/094/peach-stone,"A charming peach with a crisp, refreshing character.",70.91,Benjamin Moore Classics® Color Collection,
Sunfish,095,"rgb(248, 208, 178)",https://www.benjaminmoore.com/en-us/paint-colors/color/095/sunfish,"Conjuring images of relaxed summer days on the water, this medium peach will infuse any space with a radiant glow.",65.31,Benjamin Moore Classics® Color Collection,
Soft Salmon,096,"rgb(244, 197, 160)",https://www.benjaminmoore.com/en-us/paint-colors/color/096/soft-salmon,"Muted tones give this orange-peach a pleasing, powder-soft quality.",58.58,Benjamin Moore Classics® Color Collection,
Hugs & Kisses,097,"rgb(238, 175, 132)",https://www.benjaminmoore.com/en-us/paint-colors/color/097/hugs-kisses,"Warm and welcoming, this softened orange feels fresh yet inviting.",48.95,Benjamin Moore Classics® Color Collection,
Bryce Canyon,098,"rgb(208, 123, 81)",https://www.benjaminmoore.com/en-us/paint-colors/color/098/bryce-canyon,"A deep, earthy orange that echoes the spectacular rock formations of the American West.",27.93,Benjamin Moore Classics® Color Collection,
Candle Light,099,"rgb(246, 224, 204)",https://www.benjaminmoore.com/en-us/paint-colors/color/099/candle-light,A faint glow of apricot peeks out from this whisper-soft hue.,76.53,Benjamin Moore Classics® Color Collection,
Golden Beige,100,"rgb(241, 212, 192)",https://www.benjaminmoore.com/en-us/paint-colors/color/100/golden-beige,Pink undertones lend a soft glow to this delicate bisque hue.,67.21,Benjamin Moore Classics® Color Collection,
Northwood Brown,1000,"rgb(111, 97, 81)",https://www.benjaminmoore.com/en-us/paint-colors/color/1000/northwood-brown,"A balanced, easygoing brown with a warm, organic quality.",13.41,Benjamin Moore Classics® Color Collection,
North Creek Brown,1001,"rgb(101, 89, 74)",https://www.benjaminmoore.com/en-us/paint-colors/color/1001/north-creek-brown,"A blackish brown evocative of rich, wet soil.",10.23,Benjamin Moore Classics® Color Collection,
Featherstone,1002,"rgb(226, 216, 207)",https://www.benjaminmoore.com/en-us/paint-colors/color/1002/featherstone,A stony beige anchored by a hint of taupe.,68.82,Benjamin Moore Classics® Color Collection,
Kitten Whiskers,1003,"rgb(220, 211, 202)",https://www.benjaminmoore.com/en-us/paint-colors/color/1003/kitten-whiskers,A hint of pink brightens this warm-gray.,64.69,Benjamin Moore Classics® Color Collection,
Desert Light,1004,"rgb(210, 200, 189)",https://www.benjaminmoore.com/en-us/paint-colors/color/1004/desert-light,Soft mauve undertones give this neutral a quiet charm.,57.9,Benjamin Moore Classics® Color Collection,
Hazelwood,1005,"rgb(195, 184, 174)",https://www.benjaminmoore.com/en-us/paint-colors/color/1005/hazelwood,A moody neutral warmed by a touch of mauve.,48.88,Benjamin Moore Classics® Color Collection,
Creekbed,1006,"rgb(169, 154, 141)",https://www.benjaminmoore.com/en-us/paint-colors/color/1006/creekbed,An earthy mid-tone that balances brown and taupe.,33.34,Benjamin Moore Classics® Color Collection,
Beigewood,1007,"rgb(150, 135, 119)",https://www.benjaminmoore.com/en-us/paint-colors/color/1007/beigewood,"With its mix of brown, gray and mauve tones, this unique hue can lay a stylish foundation in any space.",25.41,Benjamin Moore Classics® Color Collection,
Devonwood Taupe,1008,"rgb(128, 109, 96)",https://www.benjaminmoore.com/en-us/paint-colors/color/1008/devonwood-taupe,"A hint of taupe gives this deep neutral hue a sophisticated, earthy feel.",17.45,Benjamin Moore Classics® Color Collection,
Bride To Be,1009,"rgb(232, 220, 209)",https://www.benjaminmoore.com/en-us/paint-colors/color/1009/bride-to-be,This blushed neutral has a flattering cast.,70.69,Benjamin Moore Classics® Color Collection,
Melon Cup,101,"rgb(240, 206, 182)",https://www.benjaminmoore.com/en-us/paint-colors/color/101/melon-cup,A pleasing peach that captures the soft and sweet qualities of a melon ball.,63.82,Benjamin Moore Classics® Color Collection,
Rose Dust,1010,"rgb(211, 196, 186)",https://www.benjaminmoore.com/en-us/paint-colors/color/1010/rose-dust,Dusty mauve tones deepen this beige hue.,55.8,Benjamin Moore Classics® Color Collection,
Meadow Pink,1011,"rgb(204, 185, 173)",https://www.benjaminmoore.com/en-us/paint-colors/color/1011/meadow-pink,"This soulful taupe conjures the romance of a desolate, mist-covered beach.",49.75,Benjamin Moore Classics® Color Collection,
Whispering Woods,1012,"rgb(180, 156, 141)",https://www.benjaminmoore.com/en-us/paint-colors/color/1012/whispering-woods,Mauve undertones lend distinct character to this taupe hue.,35.67,Benjamin Moore Classics® Color Collection,
Taupetone,1013,"rgb(151, 125, 108)",https://www.benjaminmoore.com/en-us/paint-colors/color/1013/taupetone,"A warm, well-balanced brown with the slightest touch of taupe.",22.84,Benjamin Moore Classics® Color Collection,
Chocolate Pudding,1014,"rgb(140, 109, 94)",https://www.benjaminmoore.com/en-us/paint-colors/color/1014/chocolate-pudding,"A warm, milky brown with a sumptuous touch of red.",17.83,Benjamin Moore Classics® Color Collection,
Cowboy Boots,1015,"rgb(126, 99, 85)",https://www.benjaminmoore.com/en-us/paint-colors/color/1015/cowboy-boots,"A steadfast, dependable brown with a warm, slightly red undertone.",14.94,Benjamin Moore Classics® Color Collection,
Ionic Column,1016,"rgb(231, 221, 207)",https://www.benjaminmoore.com/en-us/paint-colors/color/1016/ionic-column,A touch of gray adds calm to this light beige.,70.37,Benjamin Moore Classics® Color Collection,
Dusty Road,1017,"rgb(222, 208, 192)",https://www.benjaminmoore.com/en-us/paint-colors/color/1017/dusty-road,An intriguing neutral brown distinguished by dusty pink undertones.,63.62,Benjamin Moore Classics® Color Collection,
Shabby Chic,1018,"rgb(202, 185, 168)",https://www.benjaminmoore.com/en-us/paint-colors/color/1018/shabby-chic,"Perfectly poised with easygoing elegance, this nuanced neutral is the ultimate chameleon.",49.49,Benjamin Moore Classics® Color Collection,
Dellwood Sand,1019,"rgb(180, 159, 139)",https://www.benjaminmoore.com/en-us/paint-colors/color/1019/dellwood-sand,"A bridge between brown and gray, this rich, sandy hue is reminiscent of an evening walk on the beach.",36.05,Benjamin Moore Classics® Color Collection,
Casabella,102,"rgb(220, 170, 134)",https://www.benjaminmoore.com/en-us/paint-colors/color/102/casabella,A bronzed shade of peach that captures the bittersweet bliss of the last few days of summer.,45.21,Benjamin Moore Classics® Color Collection,
Woodacres,1020,"rgb(157, 135, 116)",https://www.benjaminmoore.com/en-us/paint-colors/color/1020/woodacres,"Soft and sophisticated, this mid-tone neutral has earthy taupe undertones.",25.91,Benjamin Moore Classics® Color Collection,
Long Valley Birch,1021,"rgb(136, 115, 97)",https://www.benjaminmoore.com/en-us/paint-colors/color/1021/long-valley-birch,"A balanced neutral with a warm, milk chocolate undertone.",19.06,Benjamin Moore Classics® Color Collection,
Maple Shadows,1022,"rgb(131, 111, 93)",https://www.benjaminmoore.com/en-us/paint-colors/color/1022/maple-shadows,The earthen undertone of this mid-tone brown evokes the rich hues of a woodsy fall evening.,17.66,Benjamin Moore Classics® Color Collection,
Cocoa Butter,1023,"rgb(229, 219, 206)",https://www.benjaminmoore.com/en-us/paint-colors/color/1023/cocoa-butter,An effervescent neutral with flattering pink undertones.,70.71,Benjamin Moore Classics® Color Collection,
Tucson Winds,1024,"rgb(223, 210, 196)",https://www.benjaminmoore.com/en-us/paint-colors/color/1024/tucson-winds,"A light, warm neutral with the faintest touch of taupe.",64.62,Benjamin Moore Classics® Color Collection,
Chocolate Mousse,1025,"rgb(209, 192, 175)",https://www.benjaminmoore.com/en-us/paint-colors/color/1025/chocolate-mousse,Velvety taupe undertones bring nuance to this handsome neutral.,53.97,Benjamin Moore Classics® Color Collection,
